areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Park Slope,Brooklyn,neighborhood,2200,2200,2200,2200,2450,2485,2400,2400,2600,2500,2350,2395,2498,2500,2500,2500,2573,2700,2600,2700,2800,2800,2800,2700,2600,2550,2700,2725,2700,2850,2700,2758,2850,2850,2950,2800,2695,2600,2600,2650,2800,2895,2750,2800,2750,2700,2631,2613,2600,2700,2700,2750,2800,2850,2800,2800,2800,2850,2800,2800,2837,2887,2900,2875,2900,2950,2995,2850,2800,2800,2800,2800,2850,2800,2800,2850,2895,2900,2900,2900,2900,2800,2800,2800,2795,2750,2700,2700,2800,2800,2800,2800,2900,2800,2800,2800,2800,2750,2700,2831,2880,2884,2900,2950,2950,2995,2950,2932,2850,2850,2895,2900,3000,3000,3100,3108,3000,3295,3000,3000,3000,3200,3200,3099,3150,3000,2995,2900,2800,2800,2700,2650,2695,2695,2600,2599,2650,2700,2795,2950,3000,3150,3185,3100,3275,3124,3450,3350,3800,3800,4000,3900,3950,4200,4200,4000,3999,3839,3750,3750,3875,3995,4158,3995,3995,3997,3950,4000,4000,3995,3885,4000,4000,4025,4000,3995,3949,3995,4200,4000,3909,3900
Parkchester,Bronx,neighborhood,,,,,,,,,,,,,,1300,,1200,1100,1163,,,,,,,,,,,,,,,,,,,,,,1300,,1238,,,1425,1175,1100,,,,,,,,1240,1240,1235,1255,1262,1244,1300,1415,1414,1225,1250,1238,1225,1295,1297,1297,1250,1400,1620,1345,,,,,1500,1840,1610,1582,1558,1550,1550,1680,1625,1846,1680,1605,1600,1598,1608,1450,1395,1395,1425,1425,1435,,1450,1450,1501,1513,1500,1507,1513,1483,1514,1514,1542,1695,1588,1549,1700,1600,1600,1600,,,,,1625,,1600,,,1600,,1600,1600,1600,1600,1550,,,,,1600,1950,2010,1975,1923,1850,1800,1600,1600,1650,1600,1600,1600,1800,1885,1950,,,,2298,2075,2499,2499,1950,,1663,,1950,2148,2100,,,,1700,2000,1750,,1650,1898,2075,2300,1995,1995,2300
Pelham Bay,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1322,1300,,1300,2125,,,,,1500,,1425,,,,1500,,,,1500,1500,1500,1413,1375,,,1448,1500,1563,1625,1700,1625,1625,1500,1550,,,1800,1648,,1550,1800,1800,1750,2000,1975,1975,1625,1675,1725,1625,,,1875,1575,,,,1650,,,,,,,1618,,1650,,1750,1759,1746,1650,,1750,1700,1695,1695,1750,1750,1700,,1850,,1900,1900,1950,,,,,1848,,2291,,,,,,,,1804,,,,1748,,,,,,,,,,,,2332,3048,3000
Pelham Gardens,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905,1899,1862,,,,,,,1700,,,,,,,,,,1750,,,1800,,,,,,,,,1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelham Parkway,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495,,,1587,1599,1699,1687,1675,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1888,1824,1899,1795,1825,1875,,,,1750,,,,,1900,1787,1650,2133,1874,1862,1899,2299,1899,1979,1990,1750,1824,1989,1950,1949,1899,1950,1899,1850,1800,1875,1949,1950,2065,1925,1824,,2029,2138,2100,2100,1750,1750,1750,1695,1695,1750,1750,1925,1900,1875,1762,1750,2160,1925,2200,1995,2349,2199,2150,2299,2299,2349,2374,2135,1849,1799,2599,2597,1925,1875,1750,1795,1850,2399,2215,2200,2100
Pomonok,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,,,,,,,,,,,,,,,2200,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,,,,1675,,,,,,,,,1693,,,1650,,2100,2000,,,,,,,,,3100,,,,,,,,,,,,,,,,,,,,,
Port Morris,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospect Heights,Brooklyn,neighborhood,2150,2150,2000,2000,2000,2300,2300,2100,2050,2375,2200,1850,2300,2500,2398,2525,2573,2495,2525,2675,2700,2525,2500,2450,2400,2398,2400,2500,2450,2550,2500,2700,2525,2600,2400,2325,2500,2775,2750,2775,2500,2500,2600,2700,2625,2650,2600,2550,2488,2700,2400,2750,2800,2800,2950,2800,2800,2695,2695,2600,2650,2700,2700,2750,2875,2950,2900,2995,2795,2704,2800,2800,2700,2775,2873,2835,2850,2850,2800,2850,2950,2954,2700,2650,2700,2800,2800,2850,2956,2952,2950,2900,2900,2825,2800,2800,2800,3000,2949,2850,3000,3100,3150,2979,2898,2850,2775,2950,2950,2850,2800,2900,2925,2995,3162,3013,3450,3262,3250,3490,3263,3050,3025,3225,3200,3100,3000,2925,2800,2706,2650,2600,2680,2600,2600,2680,2800,2900,3000,3200,3208,3150,3291,3400,3400,3650,3650,3835,4160,4198,4250,4200,4100,3995,3995,3995,3990,4095,4043,4095,3998,4400,4300,4203,4250,4210,4185,4033,3888,4195,4198,4000,4000,4199,4375,4368,4280,3945,3995,3995,4238,4200
Prospect Lefferts Gardens,Brooklyn,neighborhood,1795,,,1700,1725,1200,,,1413,,1300,1250,1400,1525,1400,1300,1550,1325,1375,1550,1600,1500,1500,1650,1600,1698,1800,1800,2000,1800,1695,1695,1650,1650,1673,1650,1488,1500,1800,1950,2250,2400,2200,2200,1950,1850,1800,1700,1725,1725,1800,1900,1800,1800,1975,2000,2000,1773,1797,1800,1773,1750,1798,1800,1800,1700,1700,1750,1750,1900,1875,1800,1900,1950,1950,2000,2000,2000,2100,2168,2200,2200,2150,2154,2133,2200,2200,2198,2095,2175,2200,2097,2100,2098,2000,2150,2000,2200,2249,2350,2400,2400,2494,2344,2300,2250,2250,2297,2250,2299,2395,2350,2399,2470,2395,2400,2300,2400,2300,2200,2400,2375,2299,2400,2450,2350,2395,2300,2199,2199,2100,2000,2000,2000,1995,1995,2195,2200,2400,2430,2499,2400,2350,2300,2300,2355,2500,2500,2639,2750,2958,2900,2949,2850,2849,2699,2850,2787,2799,2825,2949,3000,3000,3000,3000,2999,3000,2999,2950,2950,3025,3075,3095,2995,3000,3000,2925,2850,2828,2899,2963,2925
Prospect Park,Brooklyn,submarket,2150,2100,2100,2185,2200,2300,2350,2300,2400,2400,2200,2200,2299,2350,2400,2473,2500,2500,2550,2550,2700,2633,2598,2500,2450,2438,2500,2598,2600,2700,2595,2550,2600,2600,2600,2550,2500,2500,2500,2500,2600,2700,2650,2700,2613,2600,2566,2500,2500,2500,2500,2550,2650,2700,2700,2650,2700,2600,2600,2600,2650,2600,2625,2650,2700,2700,2750,2700,2600,2600,2605,2600,2600,2595,2650,2700,2700,2663,2600,2600,2631,2650,2600,2600,2542,2550,2566,2600,2650,2700,2700,2700,2650,2600,2500,2499,2500,2500,2500,2563,2653,2700,2749,2700,2695,2600,2611,2600,2599,2595,2600,2700,2795,2800,2800,2800,2781,2850,2700,2700,2700,2734,2750,2700,2850,2800,2750,2695,2568,2500,2499,2495,2493,2450,2400,2450,2500,2500,2650,2700,2800,2736,2750,2750,2900,2987,3000,3150,3400,3400,3599,3500,3500,3500,3375,3250,3300,3399,3400,3575,3600,3600,3700,3616,3648,3595,3500,3500,3400,3500,3500,3650,3600,3600,3550,3595,3550,3500,3595,3522,3500,3495
Prospect Park South,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1200,1350,,1550,,1575,1550,1400,1400,1450,1600,1450,1450,1350,1700,2000,1925,1850,2025,2200,2200,2263,2100,2204,2150,2300,2300,2398,2250,2150,1900,2000,2025,2050,1800,1850,1900,1913,1950,2150,2150,2125,2173,2150,2195,2100,2095,2100,2000,2025,2100,2013,1950,1998,1975,1997,2150,2240,2100,1999,2000,2025,1999,1950,1995,2100,2000,1975,2150,2150,2175,2099,2150,2100,2076,1975,2100,2150,2150,2195,2200,2250,2250,2250,2200,2199,2154,1999,2242,2200,2100,2113,2195,2199,2199,2195,2150,2100,2091,1997,1899,1910,1850,1895,1895,2100,2250,2300,2150,2325,2200,2275,2200,2250,2150,2297,2300,2150,2758,2790,2550,2600,2398,2550,2562,2574,2442,2625,2500,2525,2495,2656,2850,2795,2787,2595,2525,2740,2800,2500,2598,2750,2788,3000,3125,3125,3233,2970,2650,2650,2773
Queens,Queens,borough,1655,1675,1700,1698,1550,1550,1550,1550,1563,1600,1550,1550,1550,1550,1650,1650,1750,1813,1782,1800,1850,1795,1795,1800,1800,2500,2500,2350,2495,2460,2450,2375,2200,2113,2000,2000,2000,2000,2000,2000,2100,2100,2200,2245,2300,2200,2155,2100,2100,2095,2000,2240,2100,2300,2175,2200,2150,2100,2100,2100,2100,2100,2100,2100,2193,2200,2200,2250,2200,2200,2200,2200,2200,2200,2200,2300,2300,2300,2300,2350,2300,2250,2211,2250,2200,2200,2200,2200,2200,2203,2250,2300,2250,2200,2200,2199,2150,2150,2200,2200,2200,2200,2250,2300,2275,2200,2195,2150,2200,2200,2200,2250,2250,2300,2300,2300,2300,2300,2299,2250,2300,2350,2350,2399,2350,2300,2300,2200,2200,2100,2100,2045,2000,2000,2000,2050,2100,2195,2200,2250,2250,2250,2275,2300,2300,2300,2335,2400,2500,2600,2600,2625,2650,2650,2600,2600,2625,2600,2650,2723,2800,2850,2900,2900,2900,2900,2895,2900,2850,2950,2971,2999,3050,3090,3150,3140,3000,3000,3000,3000,3000,3000
Queens Village,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,,,,,,,,,,,,1800,,,,,1675,,,,,1850,1975,,1775,,,,,,1900,,,,,,,1798,,,,,,,,,,,,,,,,,,,,,,,,,2125,,,2100,,,2125,,,,,,1600,,,,,,2125,1975,1999,,2200,2150,1863,,,,,,,,1900,,,1800,1888,1650,1775,1895,1930,2025,2200,1950,1975,2350,1925,,,,,,,,,,,2058,2125,2000
Red Hook,Brooklyn,neighborhood,2000,,,,,,,,2200,2150,1800,1850,1750,1700,1650,1750,,1925,1775,1775,,2250,2300,2300,1950,2000,2000,2300,2250,2300,2400,2400,2350,2350,2200,2400,2500,2500,2500,2500,2600,2550,2500,2400,2700,2500,2425,2425,2500,2500,2500,2500,2695,2800,2650,2500,2550,2475,2600,2600,2500,2300,2450,2400,2500,2500,2406,2299,2250,2655,2815,3000,3000,3150,2900,2950,2875,2673,2950,3000,2999,2698,2695,2375,2475,2500,2850,2699,2600,2699,2600,2800,2800,2850,2850,2825,2600,2750,2813,2750,2775,2750,2550,2600,2625,2500,2700,2718,2613,2700,2750,2700,2700,2950,2700,2700,2799,2749,2700,2700,2600,2575,2700,2700,2900,2850,2725,2700,2500,2200,2500,2650,2500,2500,2400,2300,2400,2400,2300,2200,2100,3100,3125,2856,2900,2500,2875,2850,2900,3000,3648,3200,3500,3000,2975,3000,3150,3300,3300,3600,3000,3200,3000,3200,3750,3950,3950,3500,3800,3800,3750,3750,3900,4075,4825,4000,3550,3525,3799,3500,3499,3250
Rego Park,Queens,neighborhood,1375,1400,1425,1300,1400,1718,1635,1568,1350,1375,1400,1400,1500,1500,1500,1618,1775,1700,1575,1450,1500,1550,1675,1525,1610,1550,1525,1400,1540,1525,1500,1500,1465,1500,1500,1550,1600,1600,1600,1563,1450,1582,1800,1675,1700,1800,1704,1708,1717,1800,1800,1725,1725,1725,1765,1800,1850,1850,1850,1925,1900,1900,1900,1850,1875,1900,1998,2000,2000,2100,2100,2100,2150,2200,2100,2100,2150,2100,2200,2300,2325,2300,2300,2375,2200,2165,2150,2150,2088,2175,2168,2300,2200,2200,2000,2000,2050,2025,2050,2073,2000,1975,2100,2160,2150,2138,2050,2050,2050,2079,2150,2100,1950,2084,2113,2150,2204,2075,2187,2109,2150,2100,2175,2100,2100,2100,1963,1900,1950,1916,1950,1970,2000,2000,1850,1995,2000,2100,2100,1995,2025,2000,2095,2281,2300,2150,2000,2000,2100,2285,2350,2500,2400,2550,2425,2325,2495,2500,2594,2600,2505,2595,2525,2750,2875,2803,2650,2825,2900,2955,3050,3050,2919,2995,2967,2750,2900,2800,2750,2795,2898,2842
Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,1400,1500,1600,,,1600,1575,,,,1575,1500,1400,1450,1725,,,,,,,,,,1650,1650,,,,1699,1700,,,,,,,,2100,1775,1625,,,,1900,1850,1650,1650,1788,,,,1675,1713,1688,1695,,1675,2050,1850,1850,1850,,,1900,1900,,1700,,,,,1900,1938,1900,1900,1725,1725,1950,1875,1695,1700,1698,1898,2100,1725,1713,1725,1800,1950,1800,1800,2100,2100,2100,2075,1900,1800,1800,1788,2200,2198,,2200,2200,1925,1900,2100,2250,2000,2000,1850,1825,1950,2000,1975,,,2300,2850,2775,2795
Ridgewood,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,1525,1500,,,2915,2915,2760,1950,2567,2590,2613,1600,2399,2338,2384,2392,2292,2246,2292,2050,1800,2050,1900,1750,2600,2600,2600,2250,2000,2145,2025,2300,2070,2090,2248,2200,2200,2200,2200,2238,2275,2300,2295,2500,2395,2263,2400,2295,2250,2275,2300,2300,2500,2400,2500,2600,2500,2500,2499,2500,2350,2350,2397,2495,2495,2500,2499,2500,2599,2600,2550,2400,2300,2250,2391,2385,2400,2450,2499,2550,2550,2600,2600,2499,2500,2495,2400,2375,2348,2400,2500,2599,2673,2700,2700,2500,2500,2498,2400,2500,2500,2474,2500,2533,2540,2500,2425,2398,2299,2250,2250,2250,2200,2200,2200,2299,2400,2500,2599,2550,2499,2585,2550,2500,2700,2699,2799,2900,3000,3000,3350,3250,3250,3100,3090,2910,2950,2990,3000,3000,3100,3145,3150,3300,3198,3000,3150,3100,3000,3163,3200,3382,3400,3300,3382,3300,3195,3200,3200,3000,3038
Riverdale,Bronx,neighborhood,1800,1750,1675,1800,1900,2000,2200,2525,2200,1925,2000,2000,1775,1600,2125,2100,2023,2100,1938,1850,1750,1973,1950,1750,1750,1800,1800,1895,1800,1750,1800,1810,1999,1873,1850,1800,1800,1800,1825,1838,1938,1875,1999,2025,2175,1975,2062,1950,1850,1898,2000,2050,2050,2100,2108,2100,2108,2100,2098,2100,2100,2175,2100,2100,2098,2173,2200,2200,2100,2100,2150,2200,2050,2000,2000,2025,2195,2150,2200,2291,2300,2100,2200,2200,2008,2000,2000,2098,2073,2125,2200,2200,2150,2100,2048,2048,2130,2200,2295,2395,2250,2345,2250,2160,2200,2150,2200,2300,2250,2200,2200,2200,2200,2200,2300,2300,2300,2300,2300,2300,2395,2400,2445,2500,2375,2400,2450,2495,2496,2400,2335,2250,2395,2423,2270,2276,2300,2397,2400,2500,2550,2575,2465,2330,2395,2450,2450,2400,2550,2800,2595,2550,2800,2700,2700,2590,2590,2500,2500,2600,2600,2600,2775,2750,2850,2750,2800,2634,2785,2725,2725,2795,2750,2800,2750,2725,2800,2900,2900,2898,2950,2900
Rockaway All,Queens,neighborhood,,,,,,,,,,1650,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1282,1399,1399,1350,1300,1350,1475,1350,1350,1399,1387,1425,1540,1399,1550,1563,1475,1530,1550,1450,1488,1590,1550,1488,1550,1500,1450,1625,1449,1413,1462,1450,1500,1950,1850,1850,1900,1900,1900,1900,1875,1800,1825,1775,1625,1737,1897,1825,1725,1763,1750,1900,1848,2123,1799,2300,2300,1975,1913,2088,1890,1890,1900,2035,2000,1900,1900,1850,1997,1895,2050,2000,2033,1950,1975,1995,1999,1884,1800,1800,1800,1997,1800,1912,1912,1865,1900,1900,2075,1860,1862,1749,1900,2017,2050,2000,2200,2209,2200,2149,1999,1999,2200,2250,2425,2425,2475,2250,2500,2475,2575,2450,2374,2450,2554,2450,2450,2450,2450,2395,2348,2500,2600,2560,2599,2584,2450,2450,2800,2600,2600,2574,2512,2591,2500,2599,2500,2200,2549
Roosevelt Island,Manhattan,neighborhood,2577,2555,2404,2570,2585,2500,2600,2646,2600,2975,2600,2425,2313,2313,2386,2475,2775,2588,2775,2775,2775,2895,2790,2843,2425,2625,3175,3013,3195,3025,3025,3048,2813,3095,2775,2795,2850,3000,3025,3095,3173,3150,3195,3225,3250,2895,2795,2945,3250,3195,3195,3255,3373,3263,3225,3225,3095,2995,2995,3350,3010,2995,3300,3350,3230,3450,3375,3395,3195,2965,2995,3105,3160,3828,3607,3023,3655,3390,3390,3198,3330,3123,3146,3386,3182,3253,2915,3348,3278,3333,3285,3128,2785,2850,2850,2915,2995,3265,3200,3150,3260,3300,3433,3630,3415,3378,3277,3277,3423,3245,3245,3345,3278,3593,3595,3505,3595,3585,3850,3398,3400,3243,3106,3089,3198,3200,3300,3338,3325,3295,3310,3200,2933,2933,2895,3102,3185,3018,3395,3495,3367,3480,3679,3657,3679,3800,3468,3695,3878,4169,3998,4100,4119,4000,4150,4092,4004,4108,4120,3900,4090,4064,4134,4144,4154,4140,4000,4050,4087,4072,3998,4366,4357,4500,4480,4420,4300,4230,4185,4263,4308,4315
Rosedale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schuylerville,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagate,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheepshead Bay,Brooklyn,neighborhood,1400,1225,1200,1250,1750,1725,,1300,,,2125,2350,2200,1525,1350,1350,1375,1413,1400,1400,1600,1550,1400,1400,1500,1500,1500,1550,1500,1350,1500,1500,1500,1400,1400,1400,1400,1500,1500,1513,1525,1600,1600,1600,1600,1564,1675,1700,1700,1600,1600,1600,1600,1600,1600,1650,1625,1570,1663,1650,1595,1613,1663,1675,1625,1595,1600,1625,1650,1750,1900,1713,1795,1850,1800,1850,1900,1800,1800,1750,1793,1795,1790,1790,1850,1950,1925,1950,1900,1850,1800,1900,1850,1738,1849,1995,1913,1883,1800,1870,1900,1850,1875,1900,1995,1795,1750,1785,1750,1750,1800,1800,1925,1835,1835,2000,1998,1845,1950,1973,2190,1900,1850,2255,2005,2025,2000,2010,1875,1900,1995,1915,1869,1900,1900,1800,1849,1850,1850,1875,1997,2000,1900,1883,1913,1975,1963,1900,2082,2100,2250,2299,2300,2395,2500,2550,2425,2600,2700,2550,2600,2500,2500,2995,2999,2995,3000,3050,2975,2800,2750,2800,2700,2700,2650,2675,2600,2750,2920,2758,2779,2750
Soho,Manhattan,neighborhood,5200,5288,5275,4950,4197,4000,4000,4000,5850,7000,7000,7100,5051,6250,5350,6000,6000,4650,4200,3850,5400,6515,5400,4950,5400,5200,5400,5400,5000,4100,3975,4417,4875,6000,5700,5500,5500,4495,4495,4995,4500,4495,3842,4125,4113,4048,4500,4750,4750,4400,4500,4500,4375,4000,3995,3850,4000,4600,4500,4100,4500,4500,4500,4750,4977,4625,4375,4500,5000,5500,5500,5020,4900,4188,4700,4948,4675,4650,4750,4500,5495,5500,5750,5250,4900,4795,4615,4748,4728,4500,5010,4898,4950,5200,5813,6500,5500,6000,5400,5000,4995,4500,4997,5500,5500,5400,5500,5778,6200,5900,5025,4829,5150,5050,5198,5350,5398,5198,6600,6348,5095,4500,5450,5325,4448,4295,4095,4050,4165,3995,4159,4002,3850,4000,3994,3995,4200,4800,4900,5800,5700,6635,6770,6000,6000,5975,6098,6400,5909,5248,5700,6050,7250,6615,6900,6900,6305,6000,6000,6225,5795,5812,6000,6480,7750,7275,7100,7663,8250,7450,7448,7595,7350,6400,6100,5600,6395,8050,8950,8200,6948,7348
Soundview,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263,1400,1395,1395,1400,1400,1450,1325,1300,1275,1290,1400,1488,1700,1700,1550,1765,,,,1606,1600,1588,1580,1584,1675,1700,1800,1650,1675,1700,1750,1700,1875,1675,1688,1600,,1615,1675,1650,1900,2063,2025,2000,1875,1995,1898,1800,1725,1725,1513,1950,2025,1947,1813,1513,1650,1765,1850,1984,1895,2073,1850,2000,2000,1895,1699,1850,2075,1687,1862,1862,1831,1950,2036,2011,2021,2075,1838,2048,2000,1856,1950,2250,2100,2027,1791,1650,,2200,2244,1941,2500,2650,2425,1750,2000,1650,1788,2500,1950,2500,,1750,2250,,,,,2000,2500,2325,2548,3000,2800,,,,3500,2475,2100,,
South Brooklyn,Brooklyn,submarket,1590,1525,1475,1450,1500,1500,1500,1463,1500,1400,1450,1450,1400,1395,1425,1500,1500,1550,1550,1500,1500,1500,1500,1450,1500,1500,1500,1550,1600,1550,1595,1600,1600,1550,1525,1600,1500,1500,1525,1600,1600,1650,1700,1750,1745,1700,1675,1663,1650,1650,1650,1650,1800,1800,1800,1775,1750,1700,1750,1750,1750,1750,1800,1800,1850,1850,1850,1900,1900,1900,1900,1900,1900,1900,1900,1995,1995,1999,1995,2000,1995,1995,1995,1960,1950,1984,1950,1995,1999,2000,2000,2000,1999,2000,1957,1955,2000,2000,1999,1999,2000,2065,2099,2100,2095,2000,2000,2000,2000,2000,2000,2050,2100,2095,2100,2100,2100,2100,2100,2180,2199,2195,2200,2200,2188,2169,2150,2100,2015,1999,1950,1925,1925,1900,1900,1900,1950,2000,2000,2095,2100,2100,2100,2099,2150,2200,2275,2300,2400,2499,2500,2500,2500,2500,2499,2500,2537,2550,2595,2600,2650,2650,2700,2700,2699,2700,2699,2650,2650,2700,2699,2750,2800,2800,2800,2850,2800,2800,2800,2800,2800,2800
South Jamaica,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,,,,,,,2450,2550,,,,,1800,1800,,,,,,,,2500,3500,,,,,,,,,,,
South Ozone Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,
South Queens,Queens,submarket,,,,,,,,,,,,,1550,1550,1550,1563,1550,1400,1250,1500,1550,1450,1575,1650,1500,1500,1499,1479,1499,1575,1459,1400,1400,1400,1335,1335,1450,1500,1500,1550,1525,1450,1523,1550,1650,1598,1575,1600,1638,1595,1595,1500,1595,1595,1595,1695,1675,1600,1600,1650,1700,1700,1700,1663,1725,1650,1650,1650,1650,1600,1599,1650,1600,1650,1650,1875,1700,1700,1795,1895,1833,1800,1855,1900,1750,1800,1900,1950,1950,1983,1950,1825,1950,1995,1900,1875,1900,1850,1950,1850,1850,1973,2000,2050,2000,1995,1938,1850,2000,1900,1942,2000,1995,1900,2075,1999,2100,2000,1999,2000,2000,2194,2200,2100,1925,1900,2003,2000,2000,2000,2000,2000,2000,2100,1975,1995,1995,1995,2000,2225,2100,2170,2197,2200,2250,2295,2290,2353,2444,2450,2500,2535,2500,2400,2493,2446,2300,2306,2400,2450,2500,2550,2590,2600,2654,2675,2700,2600,2650,2700,2792,2705,2700,2700,2765,2775,2800,2800,2750,2720,2748,2750
South Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Gardens,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,,,,,,,,,,,,
